latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
18.92792,-70.35513,367,0.36,0.57,2023-01-07,0542,1,high,2.0NRT,289.35,9.66,N
18.2676,-70.50226,307.26,0.36,0.57,2023-01-07,0542,1,nominal,2.0NRT,287.91,0.48,N
34.84062,-79.74127,316.47,0.42,0.37,2023-01-07,0718,1,nominal,2.0NRT,274.57,1.41,N
36.51832,-97.84618,296.93,0.7,0.75,2023-01-07,0718,1,nominal,2.0NRT,272.62,1.34,N
36.19402,-95.81734,299.49,0.53,0.67,2023-01-07,0718,1,nominal,2.0NRT,279.79,0.94,N
34.3751,-79.88912,312.91,0.42,0.37,2023-01-07,0718,1,nominal,2.0NRT,275.21,1.38,N
34.15307,-79.56166,307.67,0.43,0.38,2023-01-07,0718,1,nominal,2.0NRT,278.2,1.63,N
35.90611,-97.62284,297.37,0.67,0.74,2023-01-07,0718,1,nominal,2.0NRT,275.76,0.85,N
33.93035,-79.14901,295.24,0.44,0.39,2023-01-07,0718,1,nominal,2.0NRT,275.22,0.28,N
34.34778,-82.77569,297.97,0.38,0.36,2023-01-07,0718,1,nominal,2.0NRT,266.22,0.77,N
33.96341,-81.05244,299.24,0.39,0.37,2023-01-07,0718,1,nominal,2.0NRT,277.91,0.71,N
33.88919,-80.64114,296.4,0.4,0.37,2023-01-07,0718,1,nominal,2.0NRT,280.18,0.47,N
34.6414,-87.09258,307.28,0.51,0.41,2023-01-07,0718,1,nominal,2.0NRT,276.89,1.86,N
34.64076,-87.08701,317.53,0.51,0.41,2023-01-07,0718,1,nominal,2.0NRT,277.23,1.86,N
34.12995,-84.0337,300.96,0.4,0.37,2023-01-07,0718,1,nominal,2.0NRT,273.14,0.63,N
33.35086,-80.7227,297.72,0.4,0.37,2023-01-07,0718,1,nominal,2.0NRT,275.33,0.76,N
33.33079,-80.72763,332.49,0.4,0.37,2023-01-07,0718,1,nominal,2.0NRT,276.42,3.02,N
33.01577,-79.88742,326.23,0.43,0.38,2023-01-07,0718,1,nominal,2.0NRT,279.06,4.1,N
33.09056,-80.3428,299.69,0.42,0.37,2023-01-07,0718,1,nominal,2.0NRT,278.01,0.79,N
33.00808,-79.88465,297.5,0.43,0.38,2023-01-07,0718,1,nominal,2.0NRT,280.4,1.02,N
33.70401,-86.25949,304.11,0.46,0.39,2023-01-07,0718,1,nominal,2.0NRT,272.95,0.71,N
33.61919,-86.53279,300.19,0.47,0.4,2023-01-07,0718,1,nominal,2.0NRT,273.61,1.16,N
33.01094,-82.63556,303.67,0.38,0.36,2023-01-07,0718,1,nominal,2.0NRT,273.54,0.85,N
33.00831,-82.64037,295.34,0.38,0.36,2023-01-07,0718,1,nominal,2.0NRT,271.91,0.48,N
33.5449,-86.80453,309.61,0.48,0.4,2023-01-07,0718,1,nominal,2.0NRT,277.12,1.46,N
33.53551,-86.75845,329.62,0.48,0.4,2023-01-07,0718,1,nominal,2.0NRT,278.03,4.16,N
32.90168,-82.56734,295.9,0.38,0.36,2023-01-07,0718,1,nominal,2.0NRT,274.67,0.51,N
33.2169,-84.70403,303.04,0.41,0.37,2023-01-07,0718,1,nominal,2.0NRT,275.04,0.93,N
33.21643,-84.70708,298.01,0.41,0.37,2023-01-07,0718,1,nominal,2.0NRT,274.77,0.9,N
32.82719,-82.44421,317.15,0.38,0.36,2023-01-07,0718,1,nominal,2.0NRT,275.96,1.39,N
33.03942,-83.88879,295.54,0.39,0.36,2023-01-07,0718,1,nominal,2.0NRT,274.2,0.47,N
33.97122,-92.7216,301.87,0.34,0.56,2023-01-07,0718,1,nominal,2.0NRT,280.65,1.33,N
33.22235,-86.81349,302.45,0.48,0.4,2023-01-07,0718,1,nominal,2.0NRT,278.27,1.65,N
33.21981,-86.79287,304.39,0.48,0.4,2023-01-07,0718,1,nominal,2.0NRT,277.21,0.82,N
33.26391,-87.21865,300.07,0.5,0.41,2023-01-07,0718,1,nominal,2.0NRT,276.49,1.18,N
33.18191,-86.7579,308.11,0.48,0.4,2023-01-07,0718,1,nominal,2.0NRT,276.73,1.22,N
33.23694,-87.50851,296.6,0.52,0.41,2023-01-07,0718,1,nominal,2.0NRT,269.39,1.36,N
33.23003,-87.51533,297.01,0.52,0.41,2023-01-07,0718,1,nominal,2.0NRT,269.59,0.73,N
33.85078,-94.6512,305.04,0.44,0.62,2023-01-07,0718,1,nominal,2.0NRT,272.14,1.19,N
33.10533,-86.79926,302.66,0.48,0.4,2023-01-07,0718,1,nominal,2.0NRT,278.07,2,N
33.09134,-86.80697,318.46,0.48,0.4,2023-01-07,0718,1,nominal,2.0NRT,278.98,3.45,N
32.35665,-82.4436,296.14,0.39,0.36,2023-01-07,0718,1,nominal,2.0NRT,274.87,0.62,N
32.35403,-82.44839,300.69,0.39,0.36,2023-01-07,0718,1,nominal,2.0NRT,275.24,0.62,N
32.98141,-86.97557,295.05,0.48,0.4,2023-01-07,0718,1,nominal,2.0NRT,273.54,0.61,N
32.24152,-81.88749,300.77,0.39,0.36,2023-01-07,0718,1,nominal,2.0NRT,275.26,0.8,N
