latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
20.84697,-77.97594,310.87,0.45,0.63,2022-05-08,0605,N,nominal,2.0NRT,289.66,1.4,N
18.65424,-68.38316,315.35,0.39,0.36,2022-05-08,0605,N,nominal,2.0NRT,293.85,1.41,N
18.6509,-68.38371,311.96,0.39,0.36,2022-05-08,0605,N,nominal,2.0NRT,293.64,1.41,N
18.92958,-70.35381,340.38,0.45,0.39,2022-05-08,0605,N,nominal,2.0NRT,297.36,13.73,N
18.926,-70.35426,330.85,0.45,0.39,2022-05-08,0605,N,nominal,2.0NRT,291.65,13.73,N
18.63865,-68.37057,309.88,0.39,0.36,2022-05-08,0605,N,nominal,2.0NRT,293.95,1.64,N
18.00764,-66.65528,303.92,0.39,0.36,2022-05-08,0605,N,nominal,2.0NRT,293.21,0.3,N
18.29291,-70.29739,310.8,0.44,0.38,2022-05-08,0605,N,nominal,2.0NRT,292.53,1.09,N
18.28938,-70.298,307.71,0.44,0.38,2022-05-08,0605,N,nominal,2.0NRT,291.83,0.92,N
40.8926,-77.71392,316.85,0.63,0.72,2022-05-08,0559,N,nominal,2.0NRT,276.62,2.95,N
22.85208,-81.0375,303.52,0.74,0.76,2022-05-08,0605,N,nominal,2.0NRT,288.47,1.16,N
22.84972,-81.0352,307.56,0.74,0.76,2022-05-08,0605,N,nominal,2.0NRT,288.54,1.66,N
48.58897,-68.18497,303.03,0.49,0.49,2022-05-08,0557,N,nominal,2.0NRT,270.36,1.16,N
48.58817,-68.18461,301.88,0.49,0.49,2022-05-08,0557,N,nominal,2.0NRT,269.99,1.13,N
48.18953,-64.92253,296.74,0.53,0.42,2022-05-08,0557,N,nominal,2.0NRT,271.96,0.99,N
46.04638,-73.14676,295.78,0.4,0.6,2022-05-08,0557,N,nominal,2.0NRT,279.62,1.61,N
46.0462,-73.14137,300.4,0.4,0.6,2022-05-08,0557,N,nominal,2.0NRT,280.04,1.38,N
45.84167,-73.25387,299.09,0.4,0.6,2022-05-08,0557,N,nominal,2.0NRT,278.78,1.03,N
45.83603,-73.2542,300.28,0.4,0.6,2022-05-08,0557,N,nominal,2.0NRT,276.5,1.03,N
18.60332,-88.54228,311.22,0.51,0.41,2022-05-08,0748,N,nominal,2.0NRT,295.05,2.04,N
19.75432,-96.51357,311.9,0.5,0.41,2022-05-08,0748,N,nominal,2.0NRT,296.73,2.84,N
19.73601,-96.55325,314.74,0.5,0.41,2022-05-08,0748,N,nominal,2.0NRT,297.04,3,N
20.05159,-99.29054,320.19,0.49,0.48,2022-05-08,0748,N,nominal,2.0NRT,287.78,3.4,N
20.04712,-99.29107,328.77,0.49,0.48,2022-05-08,0748,N,nominal,2.0NRT,287.17,5.3,N
20.47434,-103.32175,308.44,0.45,0.63,2022-05-08,0748,N,nominal,2.0NRT,288.36,1.65,N
20.03147,-99.2737,309.93,0.49,0.48,2022-05-08,0748,N,nominal,2.0NRT,285.69,1.81,N
19.99718,-99.21221,296.73,0.48,0.48,2022-05-08,0748,N,nominal,2.0NRT,281.43,1.59,N
